AgMEC015	 pop_1 	AgermCT004 	345 	345
AgMEC016	 pop_1 	AgermCT004 	345 	345
AgMEC017	 pop_1 	AgermCT004 	345 	345
AgMEC018	 pop_1 	AgermCT004 	345 	345
AgMEC019	 pop_1 	AgermCT004 	345 	345
AgMEC020	 pop_1 	AgermCT004 	345 	345
AgMEC021	 pop_1 	AgermCT004 	345 	345
AgMEC022	 pop_1 	AgermCT004 	0 	0
AgMEC023	 pop_1 	AgermCT004 	0 	0
AgMEC024	 pop_1 	AgermCT004 	345 	345
AgMEC025	 pop_1 	AgermCT004 	345 	345
AgMEC026	 pop_1 	AgermCT004 	0 	0
AgMEC027	 pop_1 	AgermCT004 	345 	345
AgMEC028	 pop_1 	AgermCT004 	345 	345
AgMEC029	 pop_1 	AgermCT004 	0 	0
AgMEC030	 pop_1 	AgermCT004 	345 	345
AgMEC031	 pop_1 	AgermCT004 	345 	345
AgMEC032	 pop_1 	AgermCT004 	345 	345
AgMEC033	 pop_1 	AgermCT004 	345 	345
AgMEC034	 pop_1 	AgermCT004 	345 	345
AgMEC035	 pop_1 	AgermCT004 	345 	345
AgMEC036	 pop_1 	AgermCT004 	345 	345
AgMEC037	 pop_1 	AgermCT004 	345 	345
AgMEC038	 pop_1 	AgermCT004 	345 	345
AgMEC039	 pop_1 	AgermCT004 	345 	345
AgMEC040	 pop_1 	AgermCT004 	345 	345
AgMMN001	 pop_1 	AgermCT004 	345 	345
AgMMN002	 pop_1 	AgermCT004 	345 	345
AgMMN003	 pop_1 	AgermCT004 	345 	345
AgMMN004	 pop_1 	AgermCT004 	345 	345
AgMMN005	 pop_1 	AgermCT004 	345 	345
AgMMN006	 pop_1 	AgermCT004 	345 	345
AgMMN007	 pop_1 	AgermCT004 	345 	345
AgMMN008	 pop_1 	AgermCT004 	345 	345
AgMMN009	 pop_1 	AgermCT004 	345 	345
AgMMN010	 pop_1 	AgermCT004 	345 	345
AgMMN011	 pop_1 	AgermCT004 	345 	345
AgMMN012	 pop_1 	AgermCT004 	0 	0
AgMMN013	 pop_1 	AgermCT004 	345 	345
AgMMN014	 pop_1 	AgermCT004 	347 	347
AgMMN015	 pop_1 	AgermCT004 	0 	0
AgMMN016	 pop_1 	AgermCT004 	0 	0
AgMMN017	 pop_1 	AgermCT004 	345 	345
AgMMN018	 pop_1 	AgermCT004 	0 	0
AgMMN019	 pop_1 	AgermCT004 	345 	345
AgMMN020	 pop_1 	AgermCT004 	345 	345
AgMMN021	 pop_1 	AgermCT004 	345 	345
AgMMN022	 pop_1 	AgermCT004 	345 	345
AgMMN023	 pop_1 	AgermCT004 	345 	345
